TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
art_modern_gcc-transcriptome-pe100-cov8	4.08	0.80	15.68	224332	0	58869	54608	802
wgsim-transcriptome-pe100-cov16	13.00	0.80	12.19	15068	0	12015	1	884
dwgsim-transcriptome-pe100-cov16	31.37	1.09	30.26	18376	0	251567	2	680
art_original-transcriptome-pe100-cov16	85.91	10.38	75.51	11616	0	1414	7	1106
art_modern-transcriptome-pe100-cov16	4.72	1.24	18.22	249468	0	61334	83892	755
art_modern_gcc-transcriptome-pe100-cov16	7.64	1.27	29.66	225164	0	59099	108464	688
wgsim-genome-pe300-cov1	1.86	0.22	1.64	114996	0	109089	1	33
pirs-genome-pe300-cov1	0.96	0.25	6.65	37896	0	14198	24046	152
dwgsim-genome-pe300-cov1	5.10	0.51	4.59	358724	0	397720	1	75
art_original-genome-pe300-cov1	9.91	0.48	9.42	75868	0	28778	3	41
art_modern-genome-pe300-cov1	0.55	0.32	1.95	217972	0	87751	3676	110
art_modern_gcc-genome-pe300-cov1	0.79	0.28	3.25	194296	0	85843	7352	37
wgsim-genome-pe300-cov2	2.94	0.27	2.66	115236	0	109088	1	46
pirs-genome-pe300-cov2	1.94	0.55	13.14	37732	0	14247	47810	531
dwgsim-genome-pe300-cov2	8.10	0.62	7.48	358792	0	397719	1	54
art_original-genome-pe300-cov2	18.84	0.90	17.94	75732	0	28778	1	124
art_modern-genome-pe300-cov2	0.97	0.41	3.96	218340	0	87754	13408	167
art_modern_gcc-genome-pe300-cov2	1.33	0.43	6.55	195708	0	86230	13371	173
wgsim-genome-pe300-cov4	5.06	0.44	4.61	115256	0	109087	1	26
pirs-genome-pe300-cov4	3.29	0.94	22.73	38016	0	14242	94360	528
dwgsim-genome-pe300-cov4	14.05	0.77	13.27	358568	0	397723	1	218
art_original-genome-pe300-cov4	35.23	1.88	33.33	75848	0	28779	3	1159
art_modern-genome-pe300-cov4	1.46	0.77	7.49	219004	0	87942	16580	190
art_modern_gcc-genome-pe300-cov4	2.30	0.58	12.53	195804	0	86148	27663	232
wgsim-genome-pe300-cov8	9.38	0.67	8.71	115236	0	109085	1	310
pirs-genome-pe300-cov8	6.45	1.86	44.28	37936	0	14273	190617	1080
dwgsim-genome-pe300-cov8	26.11	1.00	25.10	358680	0	397722	1	948
art_original-genome-pe300-cov8	69.76	3.73	66.01	75752	0	28779	5	497
art_modern-genome-pe300-cov8	2.85	1.19	15.11	220804	0	88405	44256	362
art_modern_gcc-genome-pe300-cov8	4.35	0.81	25.11	195492	0	86101	55467	239
wgsim-genome-pe300-cov16	17.95	1.31	16.63	115404	0	109089	1	73
pirs-genome-pe300-cov16	12.44	3.52	86.22	37608	0	14255	380279	1197
dwgsim-genome-pe300-cov16	49.76	1.65	48.10	358792	0	397721	1	285
art_original-genome-pe300-cov16	135.88	7.16	128.71	76016	0	28777	9	692
art_modern-genome-pe300-cov16	5.37	2.44	29.94	219792	0	88210	76422	487
art_modern_gcc-genome-pe300-cov16	8.42	1.74	49.91	196448	0	86378	98840	548
wgsim-transcriptome-pe300-cov1	1.02	0.07	0.94	15312	0	12002	1	2
dwgsim-transcriptome-pe300-cov1	3.04	0.43	2.60	18692	0	251566	1	462
art_original-transcriptome-pe300-cov1	5.70	0.29	5.40	12140	0	1517	1	36
art_modern-transcriptome-pe300-cov1	0.49	0.18	1.16	248580	0	60753	5993	83
art_modern_gcc-transcriptome-pe300-cov1	0.62	0.13	1.88	225728	0	58720	6726	34
wgsim-transcriptome-pe300-cov2	1.63	0.12	1.50	15456	0	12004	1	7
dwgsim-transcriptome-pe300-cov2	4.74	0.46	4.27	18496	0	251566	1	590
art_original-transcriptome-pe300-cov2	9.92	0.51	9.40	12212	0	1518	1	98
art_modern-transcriptome-pe300-cov2	0.72	0.27	2.17	248584	0	60645	9198	79
art_modern_gcc-transcriptome-pe300-cov2	1.06	0.17	3.71	225484	0	58730	14049	25
wgsim-transcriptome-pe300-cov4	2.85	0.19	2.65	15472	0	12003	1	44
dwgsim-transcriptome-pe300-cov4	8.12	0.53	7.59	18504	0	251566	1	434
art_original-transcriptome-pe300-cov4	19.24	0.97	18.26	12120	0	1517	1	104
art_modern-transcriptome-pe300-cov4	1.27	0.45	4.24	248584	0	60664	17199	81
art_modern_gcc-transcriptome-pe300-cov4	1.92	0.21	7.14	225312	0	59175	26465	75
wgsim-transcriptome-pe300-cov8	5.31	0.37	4.89	15456	0	12001	11	150
dwgsim-transcriptome-pe300-cov8	14.89	0.71	14.17	18704	0	251566	8	239
art_original-transcriptome-pe300-cov8	37.06	1.90	35.16	12104	0	1517	3	196
art_modern-transcriptome-pe300-cov8	2.36	0.41	8.70	249260	0	61119	43061	148
art_modern_gcc-transcriptome-pe300-cov8	3.72	0.49	14.03	225516	0	58827	52762	101
wgsim-transcriptome-pe300-cov16	10.12	0.73	9.38	15152	0	12002	1	47
dwgsim-transcriptome-pe300-cov16	28.39	1.04	27.35	18680	0	251566	2	183
art_original-transcriptome-pe300-cov16	73.25	3.78	69.44	12132	0	1517	9	353
art_modern-transcriptome-pe300-cov16	4.64	1.12	17.27	248120	0	60955	74054	262
art_modern_gcc-transcriptome-pe300-cov16	7.38	1.16	28.20	225476	0	59152	105022	286
wgsim-genome-pe100-cov1	2.15	0.24	1.90	115136	0	109087	1	11
pirs-genome-pe100-cov1	1.01	0.41	7.07	33208	0	12983	71967	211
dwgsim-genome-pe100-cov1	5.51	0.61	4.89	358668	0	397719	1	28
art_original-genome-pe100-cov1	10.91	1.23	9.67	75524	0	28713	3	44
art_modern-genome-pe100-cov1	0.54	0.33	2.00	217168	0	87751	3907	77
art_modern_gcc-genome-pe100-cov1	0.76	0.26	3.27	193548	0	85822	6270	40
wgsim-genome-pe100-cov2	3.51	0.27	3.23	115284	0	109086	1	19
pirs-genome-pe100-cov2	1.94	0.64	13.14	32688	0	12977	155063	328
dwgsim-genome-pe100-cov2	8.88	0.67	8.21	359028	0	397723	1	48
art_original-genome-pe100-cov2	20.43	2.29	18.13	75640	0	28714	3	107
art_modern-genome-pe100-cov2	1.04	0.41	4.08	217156	0	87739	16199	86
art_modern_gcc-genome-pe100-cov2	1.22	0.42	6.36	193392	0	85857	10545	79
wgsim-genome-pe100-cov4	6.26	0.41	5.85	115180	0	109084	1	31
pirs-genome-pe100-cov4	3.49	1.31	24.58	32920	0	12996	284358	599
dwgsim-genome-pe100-cov4	15.64	0.80	14.83	358752	0	397722	2	71
art_original-genome-pe100-cov4	39.41	4.56	34.84	75748	0	28714	3	273
art_modern-genome-pe100-cov4	1.47	0.87	7.74	218316	0	88062	15156	111
art_modern_gcc-genome-pe100-cov4	2.53	0.41	13.23	193380	0	85935	35922	131
wgsim-genome-pe100-cov8	11.74	0.77	10.97	115144	0	109088	1	61
pirs-genome-pe100-cov8	6.90	2.66	47.52	33204	0	12992	598359	1273
dwgsim-genome-pe100-cov8	29.07	1.05	28.02	358640	0	397722	1	130
art_original-genome-pe100-cov8	77.06	9.26	67.79	75744	0	28715	7	379
art_modern-genome-pe100-cov8	2.85	1.34	15.89	218216	0	88050	39028	179
art_modern_gcc-genome-pe100-cov8	4.45	1.30	25.92	193892	0	86060	46724	207
wgsim-genome-pe100-cov16	22.74	1.32	21.41	115268	0	109086	1	122
pirs-genome-pe100-cov16	13.43	5.29	95.13	32896	0	12990	1145694	1754
dwgsim-genome-pe100-cov16	56.07	1.67	54.40	358644	0	397721	2	264
art_original-genome-pe100-cov16	152.99	18.56	134.38	75656	0	28715	12	858
art_modern-genome-pe100-cov16	5.26	2.93	30.96	226080	0	90018	71874	252
art_modern_gcc-genome-pe100-cov16	8.71	2.54	51.84	194608	0	86330	93754	320
wgsim-transcriptome-pe100-cov1	1.16	0.08	1.07	15244	0	12015	1	24
dwgsim-transcriptome-pe100-cov1	3.23	0.46	2.75	18592	0	251565	1	516
art_original-transcriptome-pe100-cov1	6.29	0.68	5.60	11684	0	1415	1	52
art_modern-transcriptome-pe100-cov1	0.47	0.20	1.18	248548	0	60746	5176	81
art_modern_gcc-transcriptome-pe100-cov1	0.63	0.13	1.98	224628	0	58541	8127	14
wgsim-transcriptome-pe100-cov2	1.91	0.11	1.80	15452	0	12017	1	22
