TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-transcriptome-pe100-size65536	3.92	0.23	3.69	13920	0	928	1	19
dwgsim-transcriptome-pe100-size65536	10.38	0.95	9.41	12000	0	394079	1	2007
art_original-transcriptome-pe100-size65536	25.53	3.08	22.43	12412	0	1867	7	138
art_modern-transcriptome-pe100-size65536	1.03	0.38	5.17	249600	0	61903	18197	92
art_modern_gcc-transcriptome-pe100-size65536	1.88	0.43	8.34	226604	0	59724	28785	89
wgsim-transcriptome-pe100-size262144	15.58	0.93	14.64	14080	0	929	1	105
dwgsim-transcriptome-pe100-size262144	41.46	3.81	37.57	12000	0	1573724	7	8440
art_original-transcriptome-pe100-size262144	102.30	12.15	90.13	24584	0	6470	7	537
art_modern-transcriptome-pe100-size262144	3.54	1.99	20.17	686852	0	176151	50660	171
art_modern_gcc-transcriptome-pe100-size262144	6.64	1.59	34.15	663828	0	172761	100402	220
wgsim-genome-pe300-size1048576	0.06	0.01	0.05	18312	0	2468	1	3
pirs-genome-pe300-size1048576	0.06	0.01	0.26	16384	0	2665	1137	27
dwgsim-genome-pe300-size1048576	0.15	0.01	0.14	28800	0	5217	1	3
art_original-genome-pe300-size1048576	0.37	0.02	0.34	12620	0	1925	1	2
art_modern-genome-pe300-size1048576	0.13	0.06	0.16	116856	0	26228	480	60
art_modern_gcc-genome-pe300-size1048576	0.12	0.04	0.21	99044	0	24355	505	9
wgsim-genome-pe300-size4194304	0.23	0.03	0.19	33216	0	7077	1	4
pirs-genome-pe300-size4194304	0.15	0.05	0.85	19624	0	4211	4422	33
dwgsim-genome-pe300-size4194304	0.59	0.03	0.55	80800	0	18274	1	5
art_original-genome-pe300-size4194304	1.49	0.07	1.41	21576	0	5767	1	7
art_modern-genome-pe300-size4194304	0.17	0.09	0.38	119968	0	27778	1103	62
art_modern_gcc-genome-pe300-size4194304	0.21	0.06	0.58	101576	0	25926	1822	13
wgsim-genome-pe300-size16777216	0.84	0.07	0.77	94964	0	25508	1	7
pirs-genome-pe300-size16777216	0.55	0.15	3.39	31996	0	10362	18145	67
dwgsim-genome-pe300-size16777216	2.35	0.11	2.24	290080	0	70497	1	12
art_original-genome-pe300-size16777216	6.22	0.32	5.89	58692	0	21129	1	27
art_modern-genome-pe300-size16777216	0.32	0.19	1.29	132452	0	33971	2719	76
art_modern_gcc-genome-pe300-size16777216	0.58	0.12	2.15	113788	0	32077	7493	13
wgsim-genome-pe300-size67108864	3.34	0.30	3.03	340880	0	99287	1	17
pirs-genome-pe300-size67108864	2.13	0.57	13.39	80904	0	34940	73511	105
dwgsim-genome-pe300-size67108864	9.30	0.48	8.81	1125600	0	279392	1	45
art_original-genome-pe300-size67108864	23.57	1.23	22.33	140692	0	82573	1	120
art_modern-genome-pe300-size67108864	0.95	0.48	4.96	186132	0	58315	9853	156
art_modern_gcc-genome-pe300-size67108864	1.45	0.30	8.16	162480	0	56537	16607	47
wgsim-genome-pe300-size268435456	13.44	1.14	12.29	1324084	0	394201	1	62
pirs-genome-pe300-size268435456	8.37	2.41	53.08	277608	0	133254	290279	461
dwgsim-genome-pe300-size268435456	37.23	1.90	35.32	4467840	0	1114977	1	160
art_original-genome-pe300-size268435456	94.47	5.14	89.31	533860	0	328338	5	729
art_modern-genome-pe300-size268435456	3.85	1.60	20.37	383736	0	157013	56065	368
art_modern_gcc-genome-pe300-size268435456	5.93	1.40	33.60	359912	0	155123	73165	994
wgsim-transcriptome-pe300-size1024	0.06	0.00	0.05	13920	0	931	1	4
dwgsim-transcriptome-pe300-size1024	0.16	0.02	0.14	12000	0	7007	1	20
art_original-transcriptome-pe300-size1024	0.33	0.02	0.31	9920	0	693	1	5
art_modern-transcriptome-pe300-size1024	0.12	0.07	0.14	114888	0	26090	373	64
art_modern_gcc-transcriptome-pe300-size1024	0.12	0.04	0.18	96896	0	24218	376	15
wgsim-transcriptome-pe300-size4096	0.22	0.01	0.20	13920	0	931	1	5
dwgsim-transcriptome-pe300-size4096	0.64	0.07	0.56	12160	0	25440	1	97
art_original-transcriptome-pe300-size4096	1.30	0.06	1.23	9920	0	735	1	51
art_modern-transcriptome-pe300-size4096	0.18	0.08	0.42	118548	0	27955	1262	63
art_modern_gcc-transcriptome-pe300-size4096	0.22	0.05	0.61	100112	0	25884	1911	13
wgsim-transcriptome-pe300-size16384	0.82	0.05	0.76	13760	0	928	1	32
dwgsim-transcriptome-pe300-size16384	2.49	0.26	2.23	12160	0	99169	1	505
art_original-transcriptome-pe300-size16384	5.15	0.28	4.87	10304	0	944	1	26
art_modern-transcriptome-pe300-size16384	0.32	0.20	1.30	144284	0	34460	2591	75
art_modern_gcc-transcriptome-pe300-size16384	0.49	0.13	2.14	121432	0	32751	5446	16
wgsim-transcriptome-pe300-size65536	3.26	0.24	3.02	13920	0	928	1	19
dwgsim-transcriptome-pe300-size65536	9.94	0.92	9.00	12000	0	394080	1	2037
art_original-transcriptome-pe300-size65536	20.64	1.07	19.57	12636	0	1904	3	104
art_modern-transcriptome-pe300-size65536	1.21	0.43	5.11	250852	0	61877	21236	102
art_modern_gcc-transcriptome-pe300-size65536	1.62	0.44	8.43	227964	0	60028	20401	129
wgsim-transcriptome-pe300-size262144	12.94	0.80	12.14	13908	0	929	1	65
dwgsim-transcriptome-pe300-size262144	39.87	3.74	36.05	12160	0	1573726	3	7883
art_original-transcriptome-pe300-size262144	83.99	4.31	79.65	24780	0	6513	5	1244
art_modern-transcriptome-pe300-size262144	3.88	1.76	20.83	687996	0	174565	56020	536
art_modern_gcc-transcriptome-pe300-size262144	6.07	1.59	33.93	664792	0	172610	80380	731
